epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3046.84,0.28801,0.5664,0.90371,0.93308,0.9161,0.96801,0.91614,0.31976,0.67434,0.83598,0.000349331,0.000349331,0.000349331
43,3120.18,0.28314,0.54988,0.90022,0.91981,0.87944,0.97499,0.92018,0.3034,0.86005,0.82842,0.00034351,0.00034351,0.00034351
44,3192.2,0.2957,0.59401,0.89811,0.90935,0.96896,0.99136,0.93011,0.32456,0.7906,0.83555,0.000337688,0.000337688,0.000337688
45,3263.12,0.27881,0.53854,0.90114,0.97161,0.93461,0.9825,0.91793,0.33988,0.60946,0.83909,0.000331867,0.000331867,0.000331867
46,3332.87,0.28753,0.5436,0.90505,0.93409,0.94267,0.99136,0.92629,0.3259,0.64352,0.83924,0.000326046,0.000326046,0.000326046
47,3402.49,0.27616,0.52431,0.88627,0.82206,0.92796,0.97818,0.93127,0.30659,0.76326,0.83845,0.000320225,0.000320225,0.000320225
48,3474.68,0.29278,0.51229,0.89414,0.92402,0.87105,0.97923,0.92356,0.31203,0.83653,0.83449,0.000314404,0.000314404,0.000314404
49,3546.09,0.28019,0.49354,0.89249,0.97197,0.94476,0.98789,0.9396,0.30327,0.56862,0.83177,0.000308582,0.000308582,0.000308582
50,3616.48,0.2841,0.52026,0.90233,0.95315,0.95838,0.98645,0.92649,0.31592,0.61497,0.83693,0.000302761,0.000302761,0.000302761
51,3688,0.27959,0.49035,0.8954,0.95036,0.95832,0.95643,0.90473,0.31152,0.60027,0.83543,0.00029694,0.00029694,0.00029694
52,3757.63,0.27035,0.48007,0.88884,0.95309,0.97764,0.9563,0.90346,0.31377,0.55621,0.84078,0.000291119,0.000291119,0.000291119
53,3827.91,0.27874,0.46837,0.89921,0.94513,0.9768,0.95743,0.89879,0.31626,0.55471,0.83442,0.000285298,0.000285298,0.000285298
54,3898,0.26805,0.45417,0.89655,0.92519,0.94314,0.9558,0.90294,0.30417,0.58379,0.82451,0.000279476,0.000279476,0.000279476
55,3968.56,0.2755,0.46922,0.89738,0.89676,0.96069,0.93197,0.87324,0.30977,0.59491,0.82784,0.000273655,0.000273655,0.000273655
56,4038.36,0.28056,0.46134,0.89506,0.91487,0.93318,0.9656,0.91121,0.30288,0.56967,0.83459,0.000267834,0.000267834,0.000267834
57,4108.01,0.2661,0.45094,0.8854,0.95423,0.98414,0.95651,0.89878,0.33125,0.54651,0.84234,0.000262013,0.000262013,0.000262013
58,4178.92,0.26815,0.4897,0.89484,0.95386,0.95091,0.97028,0.92383,0.29606,0.52478,0.82406,0.000256192,0.000256192,0.000256192
59,4252.92,0.2598,0.45911,0.90088,0.96053,0.96545,0.98311,0.92721,0.30511,0.54435,0.82929,0.00025037,0.00025037,0.00025037
60,4327.2,0.26747,0.45294,0.893,0.97067,0.97846,0.98666,0.92528,0.31554,0.5005,0.83203,0.000244549,0.000244549,0.000244549
61,4397.6,0.26303,0.47539,0.89155,0.96898,0.97545,0.98645,0.93074,0.31273,0.49648,0.83705,0.000238728,0.000238728,0.000238728
62,4468.32,0.27188,0.46309,0.89682,0.93421,0.95225,0.98868,0.93445,0.31107,0.49173,0.82709,0.000232907,0.000232907,0.000232907
63,4537.1,0.26795,0.42359,0.89063,0.97199,0.95493,0.99202,0.93709,0.30492,0.48656,0.82753,0.000227086,0.000227086,0.000227086
64,4607.51,0.26117,0.44556,0.88723,0.96533,0.96696,0.98773,0.93686,0.30908,0.50577,0.82427,0.000221264,0.000221264,0.000221264
65,4676.63,0.25683,0.43922,0.88785,0.93864,0.9629,0.9544,0.90983,0.27791,0.51685,0.81232,0.000215443,0.000215443,0.000215443
66,4748.47,0.24766,0.39679,0.88118,0.90623,0.97036,0.95299,0.90393,0.31436,0.54927,0.83554,0.000209622,0.000209622,0.000209622
67,4821.39,0.24987,0.40684,0.89795,0.95184,0.93238,0.98653,0.93168,0.32826,0.53407,0.83809,0.000203801,0.000203801,0.000203801
68,4891.92,0.24763,0.40243,0.88967,0.98098,0.95923,0.99379,0.93264,0.30396,0.49184,0.83239,0.00019798,0.00019798,0.00019798
69,4965.1,0.244,0.38772,0.88351,0.97047,0.96181,0.99282,0.94561,0.31253,0.49402,0.82071,0.000192158,0.000192158,0.000192158
70,5045.74,0.24919,0.39245,0.89529,0.97837,0.97879,0.99032,0.93899,0.30016,0.46391,0.81389,0.000186337,0.000186337,0.000186337
71,5119.4,0.25301,0.38022,0.89223,0.9771,0.95555,0.99202,0.93643,0.30302,0.50115,0.81704,0.000180516,0.000180516,0.000180516
72,5194.63,0.25109,0.38151,0.89509,0.9833,0.98024,0.99202,0.93949,0.31306,0.44032,0.82601,0.000174695,0.000174695,0.000174695
73,5267.41,0.24136,0.39067,0.88287,0.96998,0.96536,0.99032,0.93432,0.30941,0.48937,0.82222,0.000168874,0.000168874,0.000168874
